Defeat( aliz cornet http://t.co/5pdzjipcp7 , http://t.co/5pdzjipcp7 )
Defeat( roche , tony roche )
Defeat( lucie , petra )
Defeat( vesely , gasquet )
Defeat( newzealand , petra )
Defeat( barty/dellacqua , date-krumm/zahlavova strycova )
Defeat( ivan lendl , murray )
Defeat( nadal , murray )
Defeat( gasquet , nick )
Defeat( ivanovic , serena )
Defeat( paes , tecau )
Defeat( halep , sharapova )
Defeat( aliz cornet http://t.co/l7mdaun2ro , http://t.co/l7mdaun2ro )
Defeat( roberta vinci , vinci )
Defeat( strycova , wozniacki )
Defeat( djokovic , roger federer )
Defeat( federer , roger )
Defeat( rt whoviansarah , andy )
Defeat( curren , kevin curren )
Defeat( raonic , eugenie bouchard )
Defeat( djokovic , becker )
Defeat( rubin , noah rubin )
Defeat( cornet , cornet )
Defeat( ptz , becker )
Defeat( rafa , roger )
Defeat( agu , roberto bautista agut )
Defeat( lisicki , bartoli )
Defeat( roger federer , novak )
Defeat( aliz cornet http://t.co/jpq35jj6yh , http://t.co/jpq35jj6yh )
Defeat( pioline , sampras )
Defeat( jo , stanislas wawrinka )
Defeat( annika , annika beck )
Defeat( kenny , kenny de schepper )
Defeat( sharapova , alison riske )
Defeat( jarryd , anders jarryd )
Defeat( paes , sania )
Defeat( mrac , oliver mrac )
Defeat( djokovic , roddick )
Defeat( niculescu , monica niculescu )
Defeat( milos , roger )
Defeat( hernych , jan hernych )
Defeat( john isner , felici )
Defeat( murray , david goffin )
Defeat( rosol , heather )
Defeat( tsonga espntennis , espntennis )
Defeat( bolelli , nishikori )
Defeat( strycova , barbora )
Defeat( wickmayer , ana konjuh )
Defeat( sharapova , djokovic )
Defeat( zahlavov , barbora zahlavov )
Defeat( got , baba )
Defeat( bouchard , roogenie bouchard )
Defeat( sock , jack sock )
Defeat( verdasco , matosevic )
Defeat( w. , serena w. )
Defeat( volandri , filippo volandri )
Defeat( peter doohan , doohan )
Defeat( david beckham , beckham )
Defeat( gasquet , querry )
Defeat( federer , nadal )
Defeat( lopez , john isner )
Defeat( tomlja , ajla tomlja )
Defeat( d , mller lu )
Defeat( aliz cornet http://t.co/3fflo3jfdi , http://t.co/3fflo3jfdi )
Defeat( sharapova , liski )
Defeat( aliz cornet http://t.co/4thuco7xo0 , http://t.co/4thuco7xo0 )
Defeat( isner , lopez )
Defeat( wawrinka , feliciano lopez )
Defeat( nadal , kyrigos )
Defeat( t , dimitrov )
Defeat( federer , getty )
Defeat( nick kyrgios http://t.co/5jdrnvpsf9 , http://t.co/5jdrnvpsf9 )
Defeat( lorenzi , paolo lorenzi )
Defeat( lisicki , ivanovic )
Defeat( safarova , kvitova )
Defeat( nick , nadal )
Defeat( gregor dimitrov , dimitrov )
Defeat( gonzalez , charlie passarell )
Defeat( sock , pospisil )
Defeat( golubev , djokovic )
Defeat( john , tim )
Defeat( becker , djokovic )
Defeat( zafa , da zafa )
Defeat( federer , heather watson )
Defeat( roger feder , feder )
Defeat( andy , dimitrov )
Defeat( shuai peng , konta )
Defeat( william , murray )
Defeat( becker , lleyton hewitt )
